=== FIGHT: no_warrior (seed AAAA0001) ===
screenshot: playtest_wren_no_warrior_00_select
classes picked before Start: ["Priest", "Geysermancer", "Siege Master", "Abomination"] (wanted ["Priest", "Geysermancer", "Siege Master", "Abomination"])
screenshot: playtest_wren_no_warrior_01_start
screenshot: playtest_wren_no_warrior_02_tick30
screenshot: playtest_wren_no_warrior_03_tick120
screenshot: playtest_wren_no_warrior_04_tick210
screenshot: playtest_wren_no_warrior_05_tick300
screenshot: playtest_wren_no_warrior_06_tick390
screenshot: playtest_wren_no_warrior_07_tick480
screenshot: playtest_wren_no_warrior_08_end
outcome: PLAYER_WIN at tick 629 (21.0s), survivors 1/4, frames waited 3417
--- event log for no_warrior ---
  tick 0  FIGHT_START  source=-1 target=-1 amount=0 action=
  tick 27  RESOURCE_SPENT  source=2 target=-1 amount=10 action=siege_shot
  tick 27  ACTION_START  source=2 target=6 amount=0 action=siege_shot
  tick 34  RESOURCE_SPENT  source=0 target=-1 amount=15 action=priest_smite
  tick 34  ACTION_START  source=0 target=4 amount=0 action=priest_smite
  tick 35  ACTION_FIRE  source=2 target=6 amount=0 action=siege_shot
  tick 35  DAMAGE  source=2 target=6 amount=17 action=siege_shot
  tick 36  RESOURCE_SPENT  source=1 target=-1 amount=20 action=geyser_blast
  tick 36  ACTION_START  source=1 target=5 amount=0 action=geyser_blast
  tick 42  ACTION_FIRE  source=0 target=4 amount=0 action=priest_smite
  tick 42  DAMAGE  source=0 target=4 amount=9 action=priest_smite
  tick 45  RESOURCE_SPENT  source=2 target=-1 amount=30 action=siege_barrage
  tick 45  ACTION_START  source=2 target=6 amount=0 action=siege_barrage
  tick 46  ACTION_FIRE  source=1 target=5 amount=0 action=geyser_blast
  tick 46  DAMAGE  source=1 target=5 amount=18 action=geyser_blast
  tick 52  RESOURCE_SPENT  source=0 target=-1 amount=15 action=priest_smite
  tick 52  ACTION_START  source=0 target=4 amount=0 action=priest_smite
  tick 57  ACTION_FIRE  source=2 target=6 amount=0 action=siege_barrage
  tick 57  DAMAGE  source=2 target=6 amount=13 action=siege_barrage
  tick 58  RESOURCE_SPENT  source=1 target=-1 amount=20 action=geyser_blast
  tick 58  ACTION_START  source=1 target=5 amount=0 action=geyser_blast
  tick 60  ACTION_FIRE  source=0 target=4 amount=0 action=priest_smite
  tick 60  DAMAGE  source=0 target=4 amount=8 action=priest_smite
  tick 61  RESOURCE_SPENT  source=3 target=-1 amount=40 action=abomination_immolate
  tick 61  ACTION_START  source=3 target=7 amount=0 action=abomination_immolate
  tick 61  ACTION_START  source=10 target=3 amount=0 action=goblin_arrow
  tick 67  ACTION_START  source=7 target=3 amount=0 action=goblin_stab
  tick 67  ACTION_START  source=9 target=3 amount=0 action=goblin_arrow
  tick 68  ACTION_FIRE  source=1 target=5 amount=0 action=geyser_blast
  tick 68  DAMAGE  source=1 target=5 amount=17 action=geyser_blast
  tick 68  DEATH  source=1 target=5 amount=0 action=geyser_blast
  tick 68  ACTION_FIRE  source=10 target=3 amount=0 action=goblin_arrow
  tick 68  DAMAGE  source=10 target=3 amount=7 action=goblin_arrow
  tick 70  RESOURCE_SPENT  source=0 target=-1 amount=15 action=priest_smite
  tick 70  ACTION_START  source=0 target=4 amount=0 action=priest_smite
  tick 70  ACTION_FIRE  source=3 target=7 amount=0 action=abomination_immolate
  tick 70  DAMAGE  source=3 target=6 amount=5 action=abomination_immolate
  tick 70  DEATH  source=3 target=6 amount=0 action=abomination_immolate
  tick 70  DAMAGE  source=3 target=7 amount=21 action=abomination_immolate
  tick 71  RESOURCE_SPENT  source=2 target=-1 amount=10 action=siege_shot
  tick 71  ACTION_START  source=2 target=7 amount=0 action=siege_shot
  tick 72  ACTION_FIRE  source=7 target=3 amount=0 action=goblin_stab
  tick 72  DAMAGE  source=7 target=3 amount=8 action=goblin_stab
  tick 74  ACTION_FIRE  source=9 target=3 amount=0 action=goblin_arrow
  tick 74  DAMAGE  source=9 target=3 amount=7 action=goblin_arrow
  tick 77  ACTION_START  source=10 target=3 amount=0 action=goblin_arrow
  tick 78  ACTION_FIRE  source=0 target=4 amount=0 action=priest_smite
  tick 78  DAMAGE  source=0 target=4 amount=15 action=priest_smite
  tick 79  ACTION_START  source=7 target=3 amount=0 action=goblin_stab
  tick 79  ACTION_FIRE  source=2 target=7 amount=0 action=siege_shot
  tick 79  DAMAGE  source=2 target=7 amount=14 action=siege_shot
  tick 79  DEATH  source=2 target=7 amount=0 action=siege_shot
  tick 80  RESOURCE_SPENT  source=1 target=-1 amount=20 action=geyser_blast
  tick 80  ACTION_START  source=1 target=4 amount=0 action=geyser_blast
  tick 83  ACTION_START  source=9 target=3 amount=0 action=goblin_arrow
  tick 84  ACTION_FIRE  source=10 target=3 amount=0 action=goblin_arrow
  tick 84  DAMAGE  source=10 target=3 amount=7 action=goblin_arrow
  tick 86  ACTION_START  source=8 target=1 amount=0 action=goblin_arrow
